student_id,python,java,javascript,web,react,backend,nodejs,spring_boot,dsa,oop,sql,database,system_design,ai,ml,deep_learning,nlp,computer_vision,data_science,statistics,data_engineering,cloud,devops,docker,linux,cybersecurity,testing,git,interest,goal,level,performance
99,0.68,0.14,0.65,0.78,0.42,0.73,0.25,0.1,0.4,0.52,0.92,0.67,0.89,0.57,0.26,0.32,0.41,0.82,0.08,0.56,0.52,0.56,0.93,0.18,0.9,0.45,0.9,0.2,Web Development,MLOps Engineer,Beginner,46.94
100,0.43,0.94,0.44,0.95,0.61,0.8,0.28,0.87,0.87,0.11,0.4,0.41,0.34,0.3,0.46,0.84,0.76,0.61,0.52,0.43,0.42,0.18,0.58,0.73,0.9,0.88,0.56,0.14,Cloud & DevOps,QA / Automation Engineer,Advanced,88.41
101,0.84,0.29,0.64,0.56,0.48,0.2,0.41,0.61,0.66,0.41,0.41,0.84,0.67,0.09,0.48,0.29,0.39,0.35,0.76,0.33,0.81,0.82,0.67,0.93,0.26,0.32,0.72,0.75,Cybersecurity,Data Engineer,Advanced,62.92
102,0.63,0.22,0.24,0.79,0.72,0.73,0.83,0.79,0.51,0.19,0.33,0.51,0.17,0.82,0.84,0.08,0.22,0.8,0.8,0.27,0.46,0.88,0.68,0.3,0.79,0.5,0.62,0.16,AI / Machine Learning,Data Analyst,Intermediate,66.88
103,0.45,0.91,0.48,0.55,0.36,0.8,0.28,0.8,0.13,0.07,0.09,0.82,0.75,0.24,0.25,0.25,0.24,0.64,0.51,0.83,0.92,0.66,0.48,0.17,0.21,0.77,0.25,0.6,Cloud & DevOps,Cybersecurity Engineer,Advanced,75.35
104,0.43,0.39,0.36,0.28,0.47,0.66,0.79,0.41,0.14,0.51,0.65,0.81,0.39,0.63,0.6,0.32,0.15,0.11,0.94,0.63,0.83,0.29,0.69,0.85,0.32,0.18,0.74,0.86,Software Engineering,Cloud Engineer,Intermediate,77.44
105,0.7,0.64,0.95,0.28,0.43,0.4,0.08,0.69,0.56,0.22,0.7,0.25,0.53,0.76,0.87,0.65,0.51,0.81,0.81,0.84,0.21,0.14,0.17,0.28,0.78,0.74,0.21,0.66,Cybersecurity,Cloud Engineer,Beginner,52.22
106,0.25,0.83,0.43,0.85,0.38,0.58,0.47,0.16,0.1,0.62,0.57,0.61,0.47,0.23,0.16,0.66,0.53,0.42,0.83,0.19,0.94,0.36,0.94,0.85,0.94,0.18,0.83,0.21,Data Science,Full Stack Developer,Intermediate,74.71
107,0.21,0.62,0.05,0.3,0.74,0.2,0.74,0.49,0.74,0.13,0.6,0.62,0.41,0.92,0.39,0.08,0.23,0.39,0.06,0.34,0.8,0.22,0.66,0.61,0.27,0.67,0.36,0.17,Software Engineering,Mobile App Developer,Advanced,56.84
108,0.11,0.09,0.9,0.46,0.52,0.52,0.44,0.67,0.17,0.95,0.49,0.73,0.2,0.87,0.78,0.07,0.25,0.94,0.24,0.07,0.5,0.16,0.69,0.76,0.39,0.63,0.74,0.61,AI / Machine Learning,Cloud Engineer,Beginner,75.95
109,0.07,0.67,0.43,0.39,0.54,0.48,0.19,0.68,0.62,0.32,0.65,0.65,0.29,0.6,0.17,0.8,0.14,0.7,0.16,0.15,0.15,0.23,0.23,0.29,0.52,0.23,0.68,0.32,AI / Machine Learning,Mobile App Developer,Intermediate,90.07
110,0.67,0.48,0.26,0.06,0.13,0.15,0.57,0.49,0.9,0.75,0.12,0.7,0.86,0.63,0.46,0.93,0.29,0.1,0.78,0.84,0.82,0.37,0.66,0.43,0.15,0.82,0.85,0.06,Backend Development,Cloud Engineer,Advanced,49.38
111,0.37,0.44,0.61,0.84,0.13,0.78,0.21,0.41,0.92,0.29,0.4,0.82,0.77,0.63,0.77,0.15,0.68,0.1,0.9,0.19,0.42,0.58,0.77,0.66,0.21,0.39,0.37,0.08,Backend Development,Full Stack Developer,Intermediate,46.21
112,0.42,0.09,0.29,0.33,0.68,0.66,0.74,0.57,0.56,0.93,0.65,0.35,0.52,0.68,0.14,0.65,0.27,0.36,0.66,0.4,0.81,0.55,0.94,0.1,0.63,0.19,0.81,0.82,Backend Development,AI / ML Engineer,Intermediate,57.63
113,0.35,0.3,0.51,0.55,0.39,0.79,0.12,0.45,0.57,0.13,0.5,0.33,0.93,0.72,0.07,0.41,0.08,0.54,0.79,0.76,0.92,0.62,0.85,0.56,0.64,0.46,0.36,0.79,Web Development,QA / Automation Engineer,Intermediate,58.26
114,0.74,0.59,0.69,0.38,0.46,0.14,0.64,0.05,0.37,0.62,0.77,0.54,0.39,0.15,0.86,0.49,0.79,0.72,0.42,0.28,0.23,0.16,0.82,0.24,0.79,0.22,0.35,0.73,AI / Machine Learning,Cloud Engineer,Advanced,72.38
115,0.74,0.46,0.64,0.91,0.17,0.5,0.53,0.09,0.89,0.8,0.48,0.51,0.88,0.21,0.57,0.71,0.17,0.4,0.59,0.84,0.5,0.4,0.93,0.87,0.74,0.3,0.92,0.92,Data Engineering,MLOps Engineer,Beginner,47.6
116,0.59,0.85,0.51,0.81,0.54,0.33,0.71,0.55,0.25,0.24,0.69,0.67,0.88,0.17,0.69,0.93,0.21,0.54,0.62,0.69,0.73,0.56,0.57,0.9,0.69,0.66,0.85,0.53,Software Engineering,MLOps Engineer,Beginner,68.75
117,0.07,0.18,0.65,0.23,0.73,0.19,0.31,0.28,0.81,0.67,0.32,0.73,0.08,0.78,0.14,0.83,0.72,0.83,0.72,0.56,0.26,0.76,0.77,0.31,0.65,0.88,0.4,0.91,Cybersecurity,Mobile App Developer,Beginner,40.71
118,0.28,0.61,0.75,0.83,0.8,0.87,0.68,0.63,0.73,0.54,0.59,0.75,0.92,0.31,0.21,0.66,0.22,0.21,0.51,0.39,0.44,0.55,0.17,0.58,0.28,0.35,0.69,0.19,Backend Development,Backend Developer,Advanced,42.8
119,0.89,0.6,0.65,0.49,0.57,0.37,0.76,0.34,0.25,0.22,0.11,0.5,0.42,0.53,0.13,0.25,0.24,0.35,0.37,0.25,0.73,0.53,0.95,0.79,0.93,0.06,0.65,0.45,Web Development,Software Engineer,Advanced,88.71
120,0.39,0.77,0.15,0.28,0.7,0.07,0.52,0.74,0.51,0.51,0.49,0.32,0.64,0.34,0.12,0.14,0.92,0.75,0.53,0.61,0.24,0.62,0.24,0.67,0.8,0.24,0.8,0.84,Software Engineering,Cloud Engineer,Beginner,81.08
121,0.19,0.46,0.35,0.13,0.1,0.76,0.55,0.57,0.25,0.28,0.4,0.62,0.44,0.07,0.66,0.53,0.63,0.61,0.73,0.58,0.68,0.12,0.89,0.15,0.76,0.32,0.13,0.74,Data Engineering,Frontend Developer,Intermediate,85.22
122,0.08,0.19,0.25,0.72,0.77,0.81,0.32,0.62,0.32,0.85,0.92,0.83,0.63,0.91,0.06,0.84,0.18,0.09,0.57,0.4,0.54,0.13,0.24,0.72,0.7,0.24,0.87,0.82,Backend Development,Data Scientist,Beginner,52.14
123,0.8,0.22,0.21,0.77,0.82,0.82,0.89,0.94,0.47,0.54,0.31,0.11,0.14,0.7,0.49,0.35,0.17,0.64,0.14,0.61,0.86,0.34,0.46,0.6,0.33,0.58,0.56,0.38,Cybersecurity,Frontend Developer,Beginner,40.27
124,0.27,0.25,0.72,0.44,0.81,0.17,0.71,0.84,0.47,0.37,0.32,0.55,0.21,0.6,0.81,0.82,0.18,0.53,0.29,0.85,0.12,0.12,0.07,0.51,0.08,0.57,0.41,0.58,AI / Machine Learning,Mobile App Developer,Intermediate,69.89
125,0.95,0.47,0.75,0.38,0.25,0.74,0.71,0.31,0.47,0.51,0.41,0.5,0.65,0.81,0.78,0.6,0.2,0.51,0.45,0.21,0.9,0.64,0.92,0.71,0.49,0.37,0.25,0.49,Data Science,Data Engineer,Intermediate,52.87
126,0.65,0.52,0.76,0.4,0.88,0.84,0.09,0.63,0.14,0.92,0.62,0.3,0.72,0.57,0.56,0.39,0.39,0.58,0.86,0.12,0.28,0.93,0.25,0.42,0.79,0.36,0.76,0.85,AI / Machine Learning,Mobile App Developer,Beginner,64.19
127,0.26,0.51,0.3,0.19,0.19,0.59,0.79,0.64,0.42,0.35,0.15,0.66,0.48,0.58,0.63,0.42,0.27,0.17,0.58,0.17,0.51,0.85,0.18,0.2,0.88,0.51,0.41,0.92,AI / Machine Learning,Cybersecurity Engineer,Advanced,76.4
128,0.31,0.13,0.45,0.94,0.83,0.2,0.8,0.59,0.77,0.79,0.21,0.64,0.29,0.7,0.36,0.46,0.58,0.26,0.4,0.15,0.23,0.82,0.5,0.43,0.18,0.14,0.48,0.6,AI / Machine Learning,MLOps Engineer,Advanced,67.68
129,0.16,0.48,0.17,0.59,0.79,0.86,0.75,0.63,0.52,0.38,0.09,0.53,0.26,0.77,0.76,0.39,0.58,0.72,0.74,0.68,0.14,0.17,0.48,0.26,0.82,0.3,0.84,0.42,Web Development,Software Engineer,Advanced,80.9
130,0.06,0.52,0.52,0.39,0.23,0.77,0.42,0.15,0.43,0.58,0.29,0.53,0.56,0.6,0.94,0.41,0.23,0.55,0.55,0.21,0.55,0.49,0.94,0.57,0.75,0.41,0.17,0.83,Data Science,Cybersecurity Engineer,Beginner,64.56
131,0.68,0.2,0.24,0.41,0.35,0.55,0.68,0.69,0.19,0.92,0.05,0.13,0.18,0.88,0.44,0.11,0.25,0.12,0.08,0.4,0.94,0.6,0.52,0.69,0.59,0.9,0.79,0.63,Data Engineering,Software Engineer,Beginner,86.78
132,0.89,0.52,0.23,0.76,0.51,0.68,0.6,0.66,0.37,0.64,0.93,0.13,0.3,0.41,0.65,0.41,0.23,0.06,0.68,0.88,0.54,0.7,0.55,0.57,0.36,0.78,0.25,0.92,Data Engineering,Frontend Developer,Advanced,40.26
133,0.21,0.51,0.55,0.5,0.36,0.16,0.51,0.28,0.53,0.76,0.28,0.45,0.39,0.49,0.27,0.36,0.75,0.66,0.86,0.83,0.48,0.28,0.39,0.76,0.25,0.68,0.77,0.42,Cybersecurity,Mobile App Developer,Advanced,40.53
134,0.8,0.27,0.13,0.66,0.79,0.12,0.89,0.48,0.37,0.85,0.29,0.9,0.66,0.87,0.5,0.23,0.71,0.84,0.24,0.23,0.27,0.61,0.19,0.15,0.88,0.66,0.65,0.6,AI / Machine Learning,QA / Automation Engineer,Intermediate,60.42
135,0.33,0.86,0.84,0.57,0.3,0.21,0.74,0.51,0.41,0.73,0.17,0.52,0.43,0.9,0.08,0.36,0.82,0.75,0.46,0.16,0.52,0.33,0.06,0.66,0.39,0.14,0.38,0.83,Backend Development,Mobile App Developer,Intermediate,53.04
136,0.47,0.6,0.38,0.5,0.24,0.68,0.39,0.82,0.3,0.21,0.17,0.57,0.26,0.14,0.29,0.26,0.44,0.39,0.18,0.91,0.18,0.78,0.21,0.5,0.95,0.81,0.52,0.7,Data Engineering,Data Engineer,Intermediate,70.92
137,0.56,0.41,0.67,0.1,0.78,0.48,0.62,0.45,0.35,0.37,0.55,0.89,0.28,0.07,0.16,0.83,0.92,0.23,0.57,0.63,0.21,0.75,0.37,0.66,0.49,0.71,0.85,0.39,Cloud & DevOps,Full Stack Developer,Advanced,92.61
138,0.83,0.63,0.89,0.43,0.6,0.41,0.87,0.12,0.36,0.33,0.64,0.69,0.59,0.41,0.85,0.75,0.89,0.72,0.52,0.46,0.2,0.82,0.16,0.26,0.28,0.72,0.72,0.24,Software Engineering,AI / ML Engineer,Beginner,43.51
139,0.84,0.54,0.07,0.41,0.74,0.12,0.29,0.19,0.64,0.85,0.33,0.27,0.31,0.61,0.17,0.8,0.08,0.65,0.82,0.34,0.48,0.93,0.54,0.3,0.45,0.92,0.68,0.21,Data Engineering,Cloud Engineer,Advanced,74.97
140,0.56,0.52,0.63,0.33,0.36,0.54,0.77,0.45,0.38,0.28,0.32,0.05,0.78,0.81,0.36,0.47,0.06,0.88,0.9,0.48,0.06,0.44,0.31,0.26,0.06,0.39,0.42,0.55,Software Engineering,Data Analyst,Beginner,79.32
141,0.63,0.8,0.25,0.12,0.61,0.51,0.77,0.6,0.67,0.29,0.63,0.53,0.29,0.22,0.11,0.17,0.15,0.46,0.46,0.68,0.49,0.34,0.19,0.92,0.07,0.93,0.3,0.16,Data Engineering,Cybersecurity Engineer,Beginner,52.8
142,0.19,0.49,0.36,0.33,0.77,0.95,0.47,0.76,0.35,0.81,0.91,0.1,0.75,0.11,0.47,0.22,0.81,0.79,0.8,0.16,0.74,0.27,0.74,0.45,0.71,0.08,0.46,0.74,Web Development,Full Stack Developer,Intermediate,77.48
143,0.33,0.34,0.62,0.09,0.89,0.52,0.28,0.62,0.23,0.85,0.83,0.25,0.15,0.62,0.34,0.2,0.3,0.16,0.76,0.06,0.09,0.76,0.48,0.59,0.38,0.13,0.19,0.13,Cybersecurity,MLOps Engineer,Advanced,43.3
144,0.37,0.19,0.53,0.15,0.49,0.34,0.55,0.63,0.36,0.85,0.71,0.07,0.39,0.7,0.28,0.09,0.69,0.55,0.54,0.49,0.56,0.54,0.34,0.47,0.83,0.59,0.82,0.19,Backend Development,Full Stack Developer,Intermediate,85.07
145,0.54,0.46,0.75,0.51,0.71,0.84,0.61,0.38,0.61,0.34,0.11,0.92,0.79,0.22,0.66,0.74,0.19,0.3,0.42,0.34,0.14,0.64,0.09,0.89,0.21,0.08,0.15,0.22,AI / Machine Learning,DevOps Engineer,Advanced,86.0
146,0.64,0.52,0.68,0.28,0.38,0.6,0.11,0.89,0.24,0.49,0.85,0.12,0.77,0.1,0.55,0.89,0.42,0.38,0.69,0.79,0.29,0.09,0.11,0.32,0.9,0.91,0.14,0.7,Software Engineering,Data Analyst,Beginner,68.94
147,0.27,0.61,0.21,0.72,0.42,0.14,0.62,0.37,0.46,0.65,0.84,0.2,0.21,0.41,0.35,0.19,0.95,0.45,0.37,0.33,0.94,0.34,0.38,0.74,0.44,0.7,0.6,0.56,Web Development,Frontend Developer,Advanced,90.94
148,0.28,0.92,0.45,0.41,0.7,0.93,0.59,0.52,0.94,0.32,0.32,0.25,0.82,0.07,0.79,0.67,0.3,0.55,0.55,0.88,0.19,0.08,0.37,0.17,0.38,0.57,0.26,0.78,Data Science,DevOps Engineer,Intermediate,71.3
149,0.25,0.12,0.34,0.48,0.49,0.86,0.68,0.79,0.14,0.63,0.08,0.78,0.39,0.75,0.88,0.35,0.84,0.44,0.89,0.16,0.74,0.72,0.81,0.89,0.62,0.62,0.1,0.52,Cybersecurity,Mobile App Developer,Advanced,48.23
150,0.5,0.25,0.1,0.71,0.4,0.45,0.59,0.5,0.25,0.31,0.4,0.17,0.12,0.56,0.09,0.41,0.13,0.5,0.75,0.17,0.17,0.55,0.49,0.64,0.23,0.6,0.71,0.27,Data Science,Data Engineer,Intermediate,57.79
151,0.88,0.13,0.65,0.43,0.36,0.34,0.58,0.07,0.32,0.94,0.6,0.94,0.45,0.18,0.09,0.79,0.23,0.39,0.73,0.82,0.15,0.1,0.9,0.88,0.83,0.79,0.06,0.67,Data Science,Data Engineer,Intermediate,65.92
152,0.35,0.72,0.24,0.54,0.73,0.54,0.61,0.94,0.68,0.65,0.39,0.87,0.52,0.28,0.1,0.23,0.68,0.29,0.47,0.9,0.11,0.64,0.65,0.87,0.37,0.15,0.31,0.85,Software Engineering,Data Analyst,Intermediate,67.97
153,0.69,0.86,0.49,0.59,0.13,0.23,0.92,0.55,0.69,0.09,0.88,0.32,0.49,0.72,0.07,0.67,0.37,0.32,0.95,0.93,0.3,0.11,0.28,0.4,0.95,0.94,0.9,0.9,Web Development,Data Scientist,Intermediate,89.34
154,0.64,0.13,0.39,0.91,0.6,0.61,0.25,0.27,0.19,0.92,0.87,0.35,0.54,0.24,0.17,0.54,0.77,0.83,0.33,0.68,0.52,0.17,0.95,0.93,0.18,0.89,0.88,0.34,Data Science,Data Scientist,Intermediate,86.17
155,0.18,0.08,0.34,0.93,0.92,0.32,0.72,0.79,0.62,0.71,0.19,0.22,0.17,0.07,0.94,0.61,0.6,0.6,0.59,0.26,0.07,0.12,0.75,0.17,0.81,0.47,0.63,0.22,Software Engineering,Full Stack Developer,Intermediate,47.56
156,0.22,0.08,0.74,0.06,0.29,0.42,0.72,0.94,0.73,0.11,0.88,0.94,0.83,0.49,0.34,0.46,0.27,0.41,0.09,0.71,0.39,0.33,0.6,0.72,0.58,0.52,0.84,0.76,Data Science,Full Stack Developer,Intermediate,85.49
157,0.09,0.95,0.52,0.41,0.71,0.55,0.51,0.62,0.09,0.31,0.41,0.32,0.79,0.47,0.43,0.6,0.1,0.52,0.18,0.8,0.46,0.7,0.15,0.75,0.89,0.68,0.17,0.42,Data Engineering,Software Engineer,Beginner,64.95
158,0.86,0.86,0.84,0.13,0.34,0.63,0.69,0.2,0.71,0.13,0.69,0.62,0.13,0.69,0.7,0.93,0.6,0.19,0.55,0.09,0.2,0.35,0.83,0.83,0.2,0.18,0.74,0.1,Cloud & DevOps,Data Engineer,Advanced,82.27
159,0.45,0.61,0.16,0.17,0.23,0.61,0.28,0.46,0.82,0.54,0.06,0.84,0.26,0.58,0.48,0.42,0.12,0.59,0.27,0.54,0.61,0.55,0.79,0.09,0.18,0.64,0.08,0.82,Cloud & DevOps,Backend Developer,Beginner,42.7
160,0.43,0.21,0.65,0.6,0.67,0.59,0.76,0.21,0.46,0.57,0.89,0.13,0.32,0.38,0.39,0.11,0.43,0.55,0.31,0.17,0.68,0.3,0.52,0.52,0.68,0.6,0.15,0.71,Data Science,Full Stack Developer,Advanced,77.88
161,0.89,0.94,0.31,0.6,0.33,0.52,0.95,0.37,0.17,0.56,0.52,0.62,0.49,0.21,0.6,0.69,0.93,0.05,0.07,0.61,0.16,0.81,0.77,0.95,0.42,0.35,0.55,0.62,AI / Machine Learning,Cloud Engineer,Beginner,77.95
162,0.28,0.11,0.32,0.54,0.74,0.15,0.35,0.41,0.56,0.91,0.8,0.22,0.8,0.88,0.48,0.48,0.08,0.17,0.19,0.46,0.83,0.86,0.47,0.78,0.89,0.1,0.52,0.56,Cybersecurity,Mobile App Developer,Advanced,41.03
163,0.57,0.35,0.87,0.77,0.11,0.18,0.81,0.36,0.39,0.53,0.2,0.6,0.22,0.16,0.75,0.33,0.82,0.69,0.29,0.13,0.84,0.38,0.8,0.32,0.52,0.21,0.39,0.08,Web Development,AI / ML Engineer,Intermediate,67.83
164,0.77,0.86,0.19,0.36,0.49,0.84,0.33,0.34,0.74,0.14,0.93,0.51,0.94,0.23,0.08,0.4,0.83,0.15,0.33,0.09,0.81,0.83,0.35,0.85,0.14,0.74,0.72,0.07,Cloud & DevOps,Cloud Engineer,Beginner,57.65
165,0.22,0.3,0.34,0.45,0.16,0.18,0.3,0.06,0.61,0.51,0.24,0.37,0.34,0.18,0.68,0.3,0.27,0.11,0.6,0.35,0.45,0.17,0.47,0.66,0.15,0.1,0.43,0.21,Data Engineering,DevOps Engineer,Intermediate,57.18
166,0.79,0.69,0.65,0.53,0.93,0.73,0.47,0.17,0.78,0.88,0.47,0.46,0.67,0.69,0.47,0.26,0.25,0.82,0.61,0.87,0.4,0.68,0.65,0.76,0.84,0.46,0.08,0.48,Cybersecurity,Full Stack Developer,Intermediate,86.52
167,0.3,0.36,0.57,0.51,0.42,0.69,0.15,0.55,0.11,0.32,0.46,0.58,0.26,0.27,0.19,0.48,0.11,0.24,0.67,0.44,0.93,0.56,0.36,0.67,0.21,0.65,0.72,0.69,Data Engineering,AI / ML Engineer,Advanced,72.78
168,0.34,0.14,0.45,0.33,0.42,0.59,0.67,0.59,0.79,0.34,0.63,0.11,0.25,0.18,0.57,0.73,0.78,0.73,0.64,0.46,0.31,0.6,0.45,0.24,0.84,0.32,0.76,0.66,Software Engineering,Cybersecurity Engineer,Intermediate,94.47
169,0.57,0.6,0.51,0.81,0.82,0.11,0.86,0.92,0.05,0.55,0.93,0.15,0.3,0.08,0.44,0.58,0.61,0.69,0.42,0.44,0.24,0.21,0.18,0.55,0.81,0.37,0.43,0.31,Backend Development,Data Scientist,Beginner,43.95
170,0.06,0.7,0.49,0.44,0.94,0.13,0.63,0.42,0.46,0.76,0.59,0.43,0.21,0.51,0.55,0.46,0.37,0.22,0.59,0.57,0.81,0.26,0.5,0.42,0.54,0.38,0.93,0.56,Cybersecurity,AI / ML Engineer,Advanced,66.48
171,0.67,0.18,0.71,0.94,0.94,0.75,0.47,0.12,0.85,0.13,0.48,0.72,0.91,0.12,0.62,0.77,0.33,0.1,0.36,0.75,0.47,0.51,0.47,0.71,0.43,0.91,0.77,0.31,AI / Machine Learning,Cybersecurity Engineer,Advanced,81.22
172,0.7,0.56,0.11,0.48,0.2,0.1,0.94,0.78,0.61,0.31,0.12,0.51,0.82,0.3,0.17,0.3,0.82,0.06,0.15,0.21,0.58,0.19,0.45,0.78,0.29,0.68,0.49,0.77,AI / Machine Learning,Backend Developer,Beginner,93.2
173,0.59,0.79,0.8,0.73,0.42,0.39,0.64,0.7,0.2,0.57,0.81,0.1,0.29,0.79,0.1,0.47,0.48,0.48,0.9,0.88,0.26,0.67,0.4,0.29,0.53,0.44,0.31,0.77,Software Engineering,Cloud Engineer,Intermediate,92.9
174,0.66,0.09,0.88,0.62,0.91,0.44,0.88,0.82,0.35,0.29,0.14,0.64,0.4,0.75,0.72,0.71,0.58,0.23,0.35,0.67,0.21,0.54,0.66,0.8,0.06,0.14,0.14,0.45,Web Development,Cybersecurity Engineer,Intermediate,53.85
175,0.08,0.61,0.1,0.58,0.85,0.25,0.59,0.16,0.91,0.13,0.59,0.39,0.74,0.63,0.77,0.22,0.15,0.22,0.32,0.64,0.12,0.46,0.95,0.74,0.67,0.65,0.74,0.28,Data Science,Data Engineer,Beginner,61.05
176,0.35,0.1,0.91,0.29,0.45,0.49,0.89,0.6,0.21,0.49,0.18,0.74,0.25,0.63,0.87,0.69,0.14,0.12,0.56,0.28,0.45,0.86,0.18,0.63,0.89,0.65,0.29,0.68,Software Engineering,DevOps Engineer,Beginner,68.35
177,0.9,0.49,0.44,0.81,0.75,0.76,0.54,0.05,0.91,0.79,0.48,0.56,0.89,0.37,0.66,0.41,0.62,0.91,0.13,0.53,0.91,0.12,0.46,0.74,0.63,0.21,0.09,0.4,Web Development,Data Engineer,Advanced,61.46
178,0.15,0.67,0.49,0.85,0.44,0.22,0.08,0.07,0.95,0.26,0.4,0.76,0.63,0.5,0.92,0.78,0.92,0.06,0.36,0.35,0.7,0.41,0.24,0.64,0.52,0.9,0.83,0.53,Web Development,AI / ML Engineer,Beginner,80.45
179,0.49,0.07,0.87,0.61,0.27,0.63,0.06,0.62,0.86,0.79,0.14,0.6,0.8,0.11,0.79,0.15,0.59,0.6,0.11,0.23,0.35,0.8,0.71,0.41,0.16,0.67,0.54,0.34,Web Development,MLOps Engineer,Beginner,72.62
180,0.35,0.16,0.18,0.42,0.68,0.55,0.44,0.88,0.09,0.14,0.81,0.6,0.75,0.06,0.49,0.06,0.21,0.13,0.64,0.85,0.42,0.78,0.75,0.67,0.24,0.63,0.52,0.42,Backend Development,DevOps Engineer,Advanced,42.07
181,0.21,0.5,0.91,0.61,0.75,0.36,0.05,0.26,0.16,0.53,0.14,0.38,0.74,0.54,0.25,0.74,0.64,0.3,0.22,0.77,0.67,0.92,0.48,0.21,0.65,0.09,0.63,0.31,Software Engineering,Data Engineer,Intermediate,73.93
182,0.85,0.46,0.14,0.1,0.53,0.19,0.08,0.51,0.11,0.26,0.45,0.57,0.43,0.72,0.86,0.26,0.15,0.26,0.26,0.42,0.23,0.85,0.12,0.58,0.1,0.44,0.24,0.6,Backend Development,Frontend Developer,Intermediate,47.5
183,0.7,0.62,0.93,0.23,0.16,0.67,0.1,0.17,0.82,0.46,0.2,0.36,0.85,0.59,0.76,0.62,0.6,0.2,0.92,0.82,0.13,0.82,0.49,0.95,0.58,0.8,0.3,0.71,Web Development,Data Analyst,Intermediate,63.88
184,0.25,0.88,0.9,0.87,0.86,0.43,0.09,0.94,0.71,0.5,0.43,0.4,0.78,0.68,0.14,0.5,0.12,0.73,0.67,0.42,0.25,0.37,0.27,0.95,0.06,0.65,0.2,0.46,AI / Machine Learning,Full Stack Developer,Intermediate,82.45
185,0.84,0.41,0.76,0.38,0.47,0.62,0.82,0.11,0.85,0.35,0.08,0.43,0.29,0.9,0.54,0.77,0.76,0.12,0.84,0.71,0.1,0.9,0.66,0.85,0.15,0.38,0.61,0.38,Backend Development,Cloud Engineer,Advanced,78.77
186,0.55,0.75,0.17,0.35,0.54,0.63,0.71,0.73,0.83,0.68,0.73,0.73,0.34,0.86,0.5,0.43,0.1,0.39,0.46,0.5,0.8,0.47,0.53,0.79,0.86,0.46,0.38,0.66,Data Science,Data Analyst,Intermediate,44.8
187,0.4,0.21,0.91,0.12,0.2,0.15,0.18,0.19,0.23,0.91,0.07,0.42,0.66,0.89,0.48,0.43,0.71,0.07,0.22,0.07,0.77,0.8,0.52,0.35,0.57,0.64,0.76,0.49,Data Engineering,Full Stack Developer,Intermediate,71.2
188,0.86,0.33,0.76,0.25,0.38,0.31,0.81,0.18,0.31,0.91,0.61,0.19,0.53,0.21,0.21,0.69,0.86,0.77,0.2,0.16,0.94,0.57,0.45,0.38,0.23,0.69,0.65,0.93,Backend Development,Backend Developer,Intermediate,69.69
189,0.2,0.32,0.88,0.41,0.5,0.18,0.46,0.34,0.05,0.71,0.93,0.35,0.68,0.48,0.31,0.9,0.93,0.57,0.18,0.56,0.87,0.45,0.67,0.71,0.86,0.18,0.55,0.33,Software Engineering,DevOps Engineer,Beginner,64.53
190,0.13,0.1,0.63,0.58,0.25,0.89,0.3,0.07,0.53,0.45,0.65,0.13,0.51,0.23,0.34,0.59,0.9,0.87,0.37,0.18,0.82,0.38,0.39,0.31,0.37,0.93,0.84,0.13,Data Engineering,Cybersecurity Engineer,Intermediate,84.2
191,0.31,0.78,0.92,0.43,0.86,0.18,0.58,0.13,0.24,0.48,0.83,0.94,0.11,0.91,0.73,0.13,0.42,0.87,0.42,0.55,0.69,0.73,0.17,0.22,0.39,0.55,0.09,0.79,Cloud & DevOps,Full Stack Developer,Advanced,80.69
192,0.25,0.76,0.19,0.32,0.63,0.62,0.16,0.65,0.31,0.21,0.87,0.63,0.08,0.74,0.49,0.92,0.59,0.38,0.48,0.44,0.28,0.67,0.93,0.79,0.39,0.71,0.07,0.28,AI / Machine Learning,Data Scientist,Intermediate,65.36
193,0.67,0.37,0.1,0.38,0.62,0.91,0.09,0.31,0.63,0.12,0.22,0.62,0.74,0.59,0.2,0.34,0.33,0.81,0.77,0.29,0.68,0.38,0.53,0.37,0.18,0.17,0.3,0.75,Software Engineering,Backend Developer,Beginner,45.63
194,0.19,0.25,0.22,0.86,0.6,0.8,0.52,0.53,0.55,0.73,0.15,0.46,0.12,0.79,0.88,0.48,0.33,0.38,0.79,0.85,0.59,0.74,0.36,0.69,0.08,0.78,0.25,0.82,Backend Development,Cybersecurity Engineer,Beginner,56.91
195,0.24,0.93,0.43,0.74,0.15,0.07,0.49,0.44,0.23,0.08,0.64,0.58,0.47,0.87,0.09,0.32,0.06,0.14,0.16,0.59,0.58,0.23,0.65,0.08,0.18,0.72,0.3,0.57,Cybersecurity,Data Scientist,Advanced,82.94
196,0.6,0.5,0.11,0.79,0.74,0.53,0.69,0.92,0.2,0.73,0.05,0.7,0.88,0.88,0.82,0.48,0.68,0.22,0.66,0.15,0.8,0.93,0.43,0.51,0.42,0.74,0.33,0.47,Backend Development,Full Stack Developer,Intermediate,78.76
197,0.55,0.09,0.35,0.15,0.31,0.59,0.33,0.93,0.45,0.55,0.31,0.82,0.22,0.11,0.81,0.48,0.66,0.21,0.95,0.49,0.14,0.44,0.64,0.13,0.18,0.41,0.58,0.14,Backend Development,AI / ML Engineer,Intermediate,93.64
